"","x","y"
"1",1,15.1874617094183
"2",2,18.1574745793094
"3",3,11.2866945007749
"4",4,24.0083228421628
"5",5,37.9454512656751
"6",6,43.8979430070017
"7",7,32.9192382457051
"8",8,46.3632398252914
"9",9,38.7332731829691
"10",10,57.4352160587601
"11",11,76.0177950308713
"12",12,77.5578150802734
"13",13,72.6176644398128
"14",14,89.8744470341339
"15",15,92.4139012838382
"16",16,90.8934726649582
"17",17,85.4505614384762
"18",18,98.0484961533276
"19",19,114.255212620941
"20",20,114.829785248366
"21",21,109.036893632798
"22",22,98.1471316183047
"23",23,118.251340621249
"24",24,108.809388080898
"25",25,122.348019784691
"26",26,136.263384448453
"27",27,138.124445696121
"28",28,141.278411732823
"29",29,153.982389937752
"30",30,157.462194698975
"31",31,146.462595455209
"32",32,169.220539339246
"33",33,184.685663405245
"34",34,181.849259599903
"35",35,171.200564216624
"36",36,175.644856376396
"37",37,198.620872286066
"38",38,182.409132462403
"39",39,201.754559904277
"40",40,203.484370114553
"41",41,225.865513994405
"42",42,212.374551199687
"43",43,216.713374649989
"44",44,238.344739030885
"45",45,225.323480132401
"46",46,239.711846645241
"47",47,247.325251525754
"48",48,246.987913184958
"49",49,248.223854168507
"50",50,266.552276362352
"51",51,260.993624529683
"52",52,266.654434349266
"53",53,288.67953953192
"54",54,301.377671036501
"55",55,290.05819264529
"56",56,297.863423842392
"57",57,285.977880558214
"58",58,305.328969923283
"59",59,298.541057464508
"60",60,312.909874884298
"61",61,302.624055311228
"62",62,315.438237248822
"63",63,316.696773452753
"64",64,333.401156436743
"65",65,345.663763956822
"66",66,352.161258380798
"67",67,352.356906576331
"68",68,345.187913826844
"69",69,360.627447628581
"70",70,347.536802881108
"71",71,368.809222126257
"72",72,355.695727472033
"73",73,364.515544951214
"74",74,377.814964494654
"75",75,370.100637632645
"76",76,401.727062812143
"77",77,380.201729784283
"78",78,395.696121839228
"79",79,394.483613579566
"80",80,425.225863440541
"81",81,420.928280545861
"82",82,417.773384909807
"83",83,432.128942762485
"84",84,437.166008337411
"85",85,439.402418643841
"86",86,441.588306213181
"87",87,451.597641383319
"88",88,472.205196629356
"89",89,443.160549259346
"90",90,459.260441655025
"91",91,460.836453251135
"92",92,468.085176562474
"93",93,475.695447814074
"94",94,491.553483180105
"95",95,490.949573469505
"96",96,475.80354891643
"97",97,478.93322754642
"98",98,508.929258995632
"99",99,506.481679551877
"100",100,522.270283901014
"101",101,507.38195660822
"102",102,524.193754058899
"103",103,514.600566353677
"104",104,537.115739659926
"105",105,528.667869850322
"106",106,545.631746644502
"107",107,551.609866858316
"108",108,533.419491426745
"109",109,565.281679770179
"110",110,571.279536140146
"111",111,552.198453965778
"112",112,581.288682274096
"113",113,570.35865472835
"114",114,576.842397904686
"115",115,594.24293146835
"116",116,590.771447239858
"117",117,605.399236051119
"118",118,607.418862067382
"119",119,617.555448582895
"120",120,619.509189664562
"121",121,610.186343927267
"122",122,622.028817779698
"123",123,624.682602561623
"124",124,618.044196996654
"125",125,641.236812368484
"126",126,630.851955163331
"127",127,647.487580077081
"128",128,639.373772068196
"129",129,651.360177528042
"130",130,647.930051466217
"131",131,679.292127813898
"132",132,676.334358909828
"133",133,655.031843823436
"134",134,673.181678269038
"135",135,680.399445206893
"136",136,680.169308058522
"137",137,699.953317128883
"138",138,707.258175002325
"139",139,711.672987318929
"140",140,719.547864364666
"141",141,698.246678207081
"142",142,707.948146075081
"143",143,705.367475107795
"144",144,744.70752309814
"145",145,738.724723385506
"146",146,750.658793340377
"147",147,750.306498683573
"148",148,751.019834458841
"149",149,768.377824657865
"150",150,760.872347684911
"151",151,761.088957925995
"152",152,767.501325154044
"153",153,786.551047458962
"154",154,771.35272760169
"155",155,776.333216576317
"156",156,766.789829696521
"157",157,801.088301689179
"158",158,811.50006048201
"159",159,793.004023282631
"160",160,794.199992454501
"161",161,821.531661936422
"162",162,814.50591514877
"163",163,830.210545253125
"164",164,823.005969335905
"165",165,830.610906852078
"166",166,833.226807038833
"167",167,854.591411947753
"168",168,835.318266705376
"169",169,856.837638926681
"170",170,845.648528173482
"171",171,853.626001018765
"172",172,865.85354673122
"173",173,876.439342881514
"174",174,890.620243306983
"175",175,879.292060972646
"176",176,902.771813764121
"177",177,897.282893205401
"178",178,896.911869354973
"179",179,914.598291305956
"180",180,915.488223748121
"181",181,919.25513093772
"182",182,926.435000351282
"183",183,911.396938564965
"184",184,928.014938935968
"185",185,941.193026768754
"186",186,960.682096050368
"187",187,941.947152458028
"188",188,952.812456122299
"189",189,961.913173367059
"190",190,960.463614381433
"191",191,966.13029361626
"192",192,979.953318742891
