"","x","y"
"1",1,1.61419975224035
"2",2,5.1224228313646
"3",3,8.27636464872375
"4",4,5.5436043422546
"5",5,11.0873484788591
"6",6,12.0903718338049
"7",7,13.7562531948368
"8",8,18.3498306381458
"9",9,12.843427753266
"10",10,21.8021061662697
"11",11,17.2656552115946
"12",12,17.6063442874928
"13",13,20.3509245299011
"14",14,24.7579571089386
"15",15,25.9561371199668
"16",16,26.0770307109647
"17",17,25.6409480072756
"18",18,28.0552715656546
"19",19,35.1729408728418
"20",20,33.5994348239489
"21",21,32.7645488344201
"22",22,33.1730977995674
"23",23,36.888815461014
"24",24,34.0005754799095
"25",25,39.046634672547
"26",26,39.7767820178352
"27",27,46.981847337724
"28",28,48.0362013748027
"29",29,46.2837645777403
"30",30,44.589653105702
"31",31,52.201874186948
"32",32,53.5553113412767
"33",33,54.6831455224634
"34",34,56.2095064370658
"35",35,54.4436111491629
"36",36,59.1165465404565
"37",37,62.4010739661962
"38",38,60.1147560424328
"39",39,58.5621486900112
"40",40,65.3812836926176
"41",41,66.8595206160283
"42",42,65.0686106071221
"43",43,72.5966545366773
"44",44,66.6162188743522
"45",45,71.5453131485401
"46",46,65.2037967794467
"47",47,73.0133841629153
"48",48,78.3925949743767
"49",49,75.1333620712186
"50",50,75.3025010533834
"51",51,81.6805167051937
"52",52,78.5716772944043
"53",53,83.3012553478657
"54",54,78.7882088683992
"55",55,81.2657245925734
"56",56,85.6393463196645
"57",57,85.3935261738958
"58",58,94.0864286797779
"59",59,94.2523702109251
"60",60,90.6445735167695
"61",61,96.2205545194418
"62",62,98.7545886232133
"63",63,98.2688618189572
"64",64,100.055899667813
"65",65,104.023012071287
"66",66,100.557460874132
"67",67,102.243510833593
"68",68,107.865338409661
"69",69,102.632980167156
"70",70,108.558592299225
"71",71,109.406023494158
"72",72,112.40129192954
"73",73,115.572593022614
"74",74,114.802075356703
"75",75,116.195478308581
"76",76,119.242777393567
"77",77,122.151205531573
"78",78,121.150075035505
"79",79,118.535841535224
"80",80,122.529441269409
"81",81,129.706605648744
"82",82,124.9431050835
"83",83,129.565920132377
"84",84,132.673218287408
"85",85,132.88288890991
"86",86,131.980792804735
"87",87,134.157451905501
"88",88,132.340608746984
"89",89,137.819280874116
"90",90,135.340830748003
"91",91,136.938544636935
"92",92,138.030017007755
"93",93,140.547366789228
"94",94,147.161839981482
"95",95,144.327365899708
"96",96,146.78824081917
"97",97,147.113847571509
"98",98,151.622724800971
"99",99,154.29490491278
"100",100,152.372176964375
"101",101,156.352050145416
"102",102,154.78476746192
"103",103,160.659311288368
"104",104,160.806852738699
"105",105,163.552383530389
"106",106,163.824501954036
"107",107,164.12020798634
"108",108,159.306818124618
"109",109,164.452251504965
"110",110,169.444015246346
"111",111,168.110906885993
"112",112,170.16077491266
"113",113,171.258929566347
"114",114,178.856299562983
"115",115,173.336832867409
"116",116,175.640720528016
"117",117,178.542771482435
"118",118,180.647293863586
"119",119,182.066610585879
"120",120,182.849554516995
"121",121,180.013741104244
"122",122,187.103513258501
"123",123,189.051432066527
"124",124,187.546993604847
"125",125,192.52456684777
"126",126,189.712654184304
"127",127,194.658221372515
"128",128,193.007989966073
"129",129,191.326967414537
"130",130,201.468957237909
"131",131,201.580519769614
"132",132,201.429469068503
"133",133,206.978440680542
"134",134,199.103539563127
"135",135,205.883538070036
"136",136,199.78900881861
"137",137,212.831784766701
"138",138,207.363320849076
"139",139,207.580685018353
"140",140,210.368403022239
"141",141,211.006858621531
"142",142,210.052956959834
"143",143,214.530167295409
"144",144,218.544946196502
"145",145,223.237520371946
"146",146,223.223009424734
"147",147,219.773446874385
"148",148,223.071916764328
"149",149,232.290731066475
"150",150,229.230598092043
"151",151,225.625952037085
"152",152,238.905136124296
"153",153,233.961216864691
"154",154,236.561676953838
"155",155,238.765328116354
"156",156,237.678041871266
"157",157,238.704596512686
"158",158,237.045553402032
"159",159,237.567436734469
"160",160,250.392166005691
"161",161,242.503715790417
"162",162,248.738587944068
"163",163,250.393992678868
"164",164,253.824008811395
